"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"मुर्तीजापूर","पिवळा","क्विंटल","290","4050","4450","4250"
"खामगाव","पिवळा","क्विंटल","1202","3400","4425","3912"
"मलकापूर","पिवळा","क्विंटल","225","3775","4390","4122"
"वणी","पिवळा","क्विंटल","16","4350","4400","4370"
"सावनेर","पिवळा","क्विंटल","10","4000","4100","4100"
"जामखेड","पिवळा","क्विंटल","34","4000","4200","4100"
"शिरपूर","पिवळा","क्विंटल","1","4000","4000","4000"
"गेवराई","पिवळा","क्विंटल","12","3500","4226","3850"
"गंगाखेड","पिवळा","क्विंटल","5","5350","5400","5350"
"तेल्हारा","पिवळा","क्विंटल","75","3875","4175","4050"
"चांदूर बझार","पिवळा","क्विंटल","191","3200","4550","3890"
"देउळगाव राजा","पिवळा","क्विंटल","10","4200","4200","4200"
"लोणार","पिवळा","क्विंटल","87","4100","4250","4175"
"वरोरा-शेगाव","पिवळा","क्विंटल","25","4300","4300","4300"
"गंगापूर","पिवळा","क्विंटल","1","4000","4000","4000"
"आंबेजोबाई","पिवळा","क्विंटल","80","4200","4325","4250"
"केज","पिवळा","क्विंटल","54","4000","4251","4201"
"औराद शहाजानी","पिवळा","क्विंटल","122","4238","4310","4274"
"भूम","पिवळा","क्विंटल","10","4200","5000","4500"
"कळंब (धाराशिव)","पिवळा","क्विंटल","152","3600","4400","4300"
"मुरुम","पिवळा","क्विंटल","9","4275","4275","4275"
"उमरगा","पिवळा","क्विंटल","13","3800","4100","3975"
"सेनगाव","पिवळा","क्विंटल","41","4050","4300","4200"
"मंगरुळपीर","पिवळा","क्विंटल","882","3855","4445","4350"
"मंगळूरपीर - शेलूबाजार","पिवळा","क्विंटल","532","3700","4395","4185"
"चांदूर-रल्वे.","पिवळा","क्विंटल","65","4200","4430","4325"
"नांदूरा","पिवळा","क्विंटल","210","3750","4316","4316"
"शेगाव","पिवळा","क्विंटल","5","3000","4200","3715"
"नेर परसोपंत","पिवळा","नग","38","2600","4295","3825"
"काटोल","पिवळा","क्विंटल","25","3900","4250","4050"
"देवणी","पिवळा","क्विंटल","4","4300","4300","4300"
"10/09/2025","","","","","",""
"अहिल्यानगर","---","क्विंटल","3","4100","4100","4100"
"येवला","---","क्विंटल","78","4001","4341","4271"
"लासलगाव","---","क्विंटल","466","3000","4515","4451"
"लासलगाव - विंचूर","---","क्विंटल","267","3000","4550","4450"
"बार्शी","---","क्विंटल","227","4100","4400","4350"
"नांदेड","---","क्विंटल","93","3845","4305","4200"
"नंदूरबार","---","क्विंटल","19","3007","4340","4050"
"राहूरी -वांबोरी","---","क्विंटल","4","4200","4200","4200"
"उदगीर","---","क्विंटल","3154","4350","4416","4383"
"कारंजा","---","क्विंटल","800","4050","4420","4290"
"अचलपूर","---","क्विंटल","67","4000","4250","4125"
"परळी-वैजनाथ","---","क्विंटल","32","4325","4351","4325"
"रिसोड","---","क्विंटल","870","3700","4425","4062"
"लोहा","---","क्विंटल","4","3700","4300","4000"
"तुळजापूर","---","क्विंटल","125","4200","4200","4200"
"मानोरा","---","क्विंटल","54","4000","4490","4284"
"राहता","---","क्विंटल","9","4300","4300","4300"
"पिंपळगाव(ब) - पालखेड","हायब्रीड","क्विंटल","115","1000","4515","4485"
"सोलापूर","लोकल","क्विंटल","33","3500","4360","4205"
"अमरावती","लोकल","क्विंटल","1044","4000","4250","4125"
"नागपूर","लोकल","क्विंटल","124","4100","4350","4288"
"राहूरी","लोकल","क्विंटल","22","3730","3750","3740"
"हिंगोली","लोकल","क्विंटल","300","3900","4400","4150"
"कोपरगाव","लोकल","क्विंटल","206","4300","4471","4431"
"मेहकर","लोकल","क्विंटल","170","3800","4350","4200"
"शिरुर","नं. २","क्विंटल","7","4300","4300","4300"
"लासलगाव - निफाड","पांढरा","क्विंटल","64","3599","4441","4400"
"जळकोट","पांढरा","क्विंटल","86","4600","5000","4800"
"बारामती","पिवळा","क्विंटल","127","3000","4200","4191"
"जालना","पिवळा","क्विंटल","540","3000","4280","4200"
"अकोला","पिवळा","क्विंटल","191","3700","4420","4245"
"यवतमाळ","पिवळा","क्विंटल","144","4040","4330","4185"
"अकोट","पिवळा","क्विंटल","30","4100","4280","4200"
"आर्वी","पिवळा","क्विंटल","46","3600","4335","4150"
"चिखली","पिवळा","क्विंटल","55","3500","4251","3850"
"हिंगणघाट","पिवळा","क्विंटल","826","3100","4400","3500"
"बीड","पिवळा","क्विंटल","35","4350","4350","4350"
"वर्धा","पिवळा","क्विंटल","44","4005","4400","4200"
"हिंगोली- खानेगाव नाका","पिवळा","क्विंटल","66","4000","4300","4200"
"जिंतूर","पिवळा","क्विंटल","2","3830","3830","3830"
"मुर्तीजापूर","पिवळा","क्विंटल","380","4100","4490","4295"
"खामगाव","पिवळा","क्विंटल","1541","3800","4500","4150"
"मलकापूर","पिवळा","क्विंटल","159","3890","4421","4330"
"दिग्रस","पिवळा","क्विंटल","67","3405","4280","4185"
"वणी","पिवळा","क्विंटल","17","3175","4495","4100"
"सावनेर","पिवळा","क्विंटल","30","3943","4295","4100"
"गेवराई","पिवळा","क्विंटल","6","4000","4236","4150"
"गंगाखेड","पिवळा","क्विंटल","10","5400","5600","5500"
"चांदूर बझार","पिवळा","क्विंटल","202","3500","4410","4000"
"दर्यापूर","पिवळा","क्विंटल","300","3400","4350","4200"
"देउळगाव राजा","पिवळा","क्विंटल","1","4200","4200","4200"
